"Item","Cond","Group","Critical","ContextSentence","TargetSentence","Target"
1,"A",1,6,"Gestern wurde ein Demonstrant im Zentrum erschossen.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
1,"B",2,6,"Gestern wurde ein Demonstrant im Zentrum getötet.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
1,"C",3,6,"Kein Demonstrant wurde jemals im Zentrum erschossen.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
1,"D",4,6,"Kein Demonstrant wurde jemals im Zentrum getötet.","Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.","Pistole"
2,"A",2,6,"Letzten Monat wurde ein Bettler in der Stadt erstochen.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
2,"B",3,6,"Letzten Monat wurde ein Bettler in der Stadt beseitigt.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
2,"C",4,6,"Kein Bettler wurde jemals in der Stadt erstochen.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
2,"D",1,6,"Kein Bettler wurde jemals in der Stadt beseitigt.","Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.","Messer"
3,"A",3,6,"Letztes Jahr hat der Agent jemanden vergiftet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
3,"B",4,6,"Letztes Jahr hat der Agent jemanden ermordet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
3,"C",1,6,"Der Agent hat nie jemanden vergiftet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
3,"D",2,6,"Der Agent hat nie jemanden ermordet.","Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.","Gift"
4,"A",4,6,"Vorgestern hat sich eine Insassin der Strafvollzugsanstalt erhängt.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
4,"B",1,6,"Vorgestern hat sich eine Insassin der Strafvollzugsanstalt umgebracht.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
4,"C",2,6,"Keine Insassin der Strafvollzugsanstalt hat sich jemals erhängt.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
4,"D",3,6,"Keine Insassin der Strafvollzugsanstalt hat sich jemals umgebracht.","Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.","Strick"
5,"A",1,6,"Heute Morgen wurde ein Rentner im Park tot aufgefunden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
5,"B",2,6,"Heute Morgen ist ein Rentner im Park verletzt worden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
5,"C",3,6,"Kein Rentner wurde jemals im Park tot aufgefunden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
5,"D",4,6,"Kein Rentner ist jemals im Park verletzt worden.","Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.","Leiche"
6,"A",2,6,"Letztes Wochenende ist ein Bergsteiger in dem Gebirge tödlich verunglückt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
6,"B",3,6,"Letztes Wochenende ist ein Bergsteiger in dem Gebirge plötzlich abgestürzt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
6,"C",4,6,"Kein Bergsteiger ist jemals in dem Gebirge tödlich verunglückt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
6,"D",1,6,"Kein Bergsteiger ist jemals in dem Gebirge plötzlich abgestürzt.","Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.","Beerdigung"
7,"A",3,5,"Gestern wurde der Sohn des Händlers verprügelt.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
7,"B",4,5,"Gestern wurde der Sohn des Händlers bestraft.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
7,"C",1,5,"Der Sohn des Händlers wurde nie verprügelt.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
7,"D",2,5,"Der Sohn des Händlers wurde nie bestraft.","Er zeigte, dass das Blut inzwischen schon getrocknet war.","Blut"
8,"A",4,5,"Letzten Monat hat der Mann einen Laden überfallen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
8,"B",1,5,"Letzten Monat ist der Mann in einen Laden eingedrungen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
8,"C",2,5,"Der Mann hat niemals einen Laden überfallen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
8,"D",3,5,"Der Mann ist niemals in einen Laden eingedrungen.","Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.","Waffe"
9,"A",1,6,"Letzte Woche ist das Handy des Sängers kaputtgegangen.","Er stellte fest, dass die Reparatur leider ziemlich teuer war.","Reparatur"
9,"B",2,6,"Letzte Woche ist das Handy des Sängers heruntergefallen.","Er stellte fest, dass die Reparatur leider ziemlich teuer war.","Reparatur"
9,"C",3,6,"Das Handy des Sängers ist niemals kaputtgegangen.","Er stellte fest, dass die Reparatur leider ziemlich teuer war.","Reparatur"
9,"D",4,6,"Das Handy des Sängers ist niemals heruntergefallen.","Er stellte fest, dass die Reparatur leider ziemlich teuer war.","Reparatur"
10,"A",2,6,"Vorgestern ist in der Siedlung ein Auto explodiert.","Die Gemeinde erfuhr, dass die Bombe in der vorangegangenen Nacht platziert wurde.","Bombe"
10,"B",3,6,"Vorgestern ist in der Siedlung ein Auto beschädigt worden.","Die Gemeinde erfuhr, dass die Bombe in der vorangegangenen Nacht platziert wurde.","Bombe"
10,"C",4,6,"Kein Auto in der Siedlung ist jemals explodiert.","Die Gemeinde erfuhr, dass die Bombe in der vorangegangenen Nacht platziert wurde.","Bombe"
10,"D",1,6,"Kein Auto in der Siedlung ist jemals beschädigt worden.","Die Gemeinde erfuhr, dass die Bombe in der vorangegangenen Nacht platziert wurde.","Bombe"
11,"A",3,6,"Am Wochenende hat die Villa am Stadtrand gebrannt.","Die Nachbarn merkten, dass das Feuer schnell außer Kontrolle geriet.","Feuer"
11,"B",4,6,"Am Wochenende hat die Villa am Stadtrand Schaden genommen.","Die Nachbarn merkten, dass das Feuer schnell außer Kontrolle geriet.","Feuer"
11,"C",1,6,"Die Villa am Stadtrand hat nie gebrannt.","Die Nachbarn merkten, dass das Feuer schnell außer Kontrolle geriet.","Feuer"
11,"D",2,6,"Die Villa am Stadtrand hat nie Schaden genommen.","Die Nachbarn merkten, dass das Feuer schnell außer Kontrolle geriet.","Feuer"
12,"A",4,5,"Während der Nacht hat der Friseur das Dokument verbrannt.","Er erfuhr, dass die Asche später zur Beweissicherung sichergestellt wurde.","Asche"
12,"B",1,5,"Während der Nacht hat der Friseur das Dokument vernichtet.","Er erfuhr, dass die Asche später zur Beweissicherung sichergestellt wurde.","Asche"
12,"C",2,5,"Der Friseur hat das Dokument nicht verbrannt.","Er erfuhr, dass die Asche später zur Beweissicherung sichergestellt wurde.","Asche"
12,"D",3,5,"Der Friseur hat das Dokument nicht vernichtet.","Er erfuhr, dass die Asche später zur Beweissicherung sichergestellt wurde.","Asche"
13,"A",1,6,"Gestern hat sich das Mädchen das Bein gebrochen.","Es stellt fest, dass der Gips ein bisschen zu eng anliegt.","Gips"
13,"B",2,6,"Gestern hat sich das Mädchen das Bein gestoßen.","Es stellt fest, dass der Gips ein bisschen zu eng anliegt.","Gips"
13,"C",3,6,"Das Mädchen hat sich niemals das Bein gebrochen.","Es stellt fest, dass der Gips ein bisschen zu eng anliegt.","Gips"
13,"D",4,6,"Das Mädchen hat sich niemals das Bein gestoßen.","Es stellt fest, dass der Gips ein bisschen zu eng anliegt.","Gips"
14,"A",2,5,"Endlich wurde die Bildhauerin geröntgt.","Sie bestätigt, dass das Röntgengerät nur ein paar Sekunden benötigt hat.","Röntgengerät"
14,"B",3,5,"Endlich wurde die Bildhauerin untersucht.","Sie bestätigt, dass das Röntgengerät nur ein paar Sekunden benötigt hat.","Röntgengerät"
14,"C",4,5,"Die Bildhauerin wurde niemals geröntgt.","Sie bestätigt, dass das Röntgengerät nur ein paar Sekunden benötigt hat.","Röntgengerät"
14,"D",1,5,"Die Bildhauerin wurde niemals untersucht.","Sie bestätigt, dass das Röntgengerät nur ein paar Sekunden benötigt hat.","Röntgengerät"
15,"A",3,5,"Gestern wurde der Fischer operiert.","Er erfuhr, dass das Skalpell äußerst vorsichtig angesetzt worden war.","Skalpell"
15,"B",4,5,"Gestern wurde der Fischer behandelt.","Er erfuhr, dass das Skalpell äußerst vorsichtig angesetzt worden war.","Skalpell"
15,"C",1,5,"Der Fischer wurde niemals operiert.","Er erfuhr, dass das Skalpell äußerst vorsichtig angesetzt worden war.","Skalpell"
15,"D",2,5,"Der Fischer wurde niemals behandelt.","Er erfuhr, dass das Skalpell äußerst vorsichtig angesetzt worden war.","Skalpell"
16,"A",4,5,"Eben wurde der Schüler geimpft.","Er fand, dass die Spritze doch recht schmerzhaft gewesen war.","Spritze"
16,"B",1,5,"Eben wurde der Schüler versorgt.","Er fand, dass die Spritze doch recht schmerzhaft gewesen war.","Spritze"
16,"C",2,5,"Der Schüler wurde niemals geimpft.","Er fand, dass die Spritze doch recht schmerzhaft gewesen war.","Spritze"
16,"D",3,5,"Der Schüler wurde niemals versorgt.","Er fand, dass die Spritze doch recht schmerzhaft gewesen war.","Spritze"
17,"A",1,6,"Eine Zeit lang wurde der Politiker im Büro abgehört.","Der Inspektor berichtet, dass die Wanze unter dem Schreibtisch gefunden wurde.","Wanze"
17,"B",2,6,"Eine Zeit lang wurde der Politiker im Büro überprüft.","Der Inspektor berichtet, dass die Wanze unter dem Schreibtisch gefunden wurde.","Wanze"
17,"C",3,6,"Kein Politiker wurde jemals im Büro abgehört.","Der Inspektor berichtet, dass die Wanze unter dem Schreibtisch gefunden wurde.","Wanze"
17,"D",4,6,"Kein Politiker wurde jemals im Büro überprüft.","Der Inspektor berichtet, dass die Wanze unter dem Schreibtisch gefunden wurde.","Wanze"
18,"A",2,5,"Vor kurzem hat sich die Ehefrau infiziert.","Sie sagt, dass das Virus wohl leider anhaltende gesundheitliche Probleme verursacht hat.","Virus"
18,"B",3,5,"Vor kurzem ist die Ehefrau erkrankt.","Sie sagt, dass das Virus wohl leider anhaltende gesundheitliche Probleme verursacht hat.","Virus"
18,"C",4,5,"Die Ehefrau hat sich nie infiziert.","Sie sagt, dass das Virus wohl leider anhaltende gesundheitliche Probleme verursacht hat.","Virus"
18,"D",1,5,"Die Ehefrau ist nie erkrankt.","Sie sagt, dass das Virus wohl leider anhaltende gesundheitliche Probleme verursacht hat.","Virus"
19,"A",3,7,"Letzte Woche hatte die Tochter eine Grippe.","Ihre Mutter vergewisserte sich, dass das Fieber nach ein paar Tagen endlich sank.","Fieber"
19,"B",4,7,"Letzte Woche hatte die Tochter Beschwerden.","Ihre Mutter vergewisserte sich, dass das Fieber nach ein paar Tagen endlich sank.","Fieber"
19,"C",1,7,"Die Tochter hatte nie eine Grippe.","Ihre Mutter vergewisserte sich, dass das Fieber nach ein paar Tagen endlich sank.","Fieber"
19,"D",2,7,"Die Tochter hatte nie Beschwerden.","Ihre Mutter vergewisserte sich, dass das Fieber nach ein paar Tagen endlich sank.","Fieber"
20,"A",4,5,"Am Montag hatten sich die Forscher unterhalten.","Sie bemerkten, dass das Gespräch weit über zwei Stunden gedauert hatte.","Gespräch"
20,"B",1,5,"Am Montag hatten sich die Forscher kennengelernt.","Sie bemerkten, dass das Gespräch weit über zwei Stunden gedauert hatte.","Gespräch"
20,"C",2,5,"Die Forscher hatten sich niemals unterhalten.","Sie bemerkten, dass das Gespräch weit über zwei Stunden gedauert hatte.","Gespräch"
20,"D",3,5,"Die Forscher hatten sich niemals kennengelernt.","Sie bemerkten, dass das Gespräch weit über zwei Stunden gedauert hatte.","Gespräch"
21,"A",1,7,"Am Morgen hat der Anwalt den Zeugen angerufen.","Der Zeuge stellte fest, dass das Telefonat offensichtlich der Einschüchterung gedient hatte.","Telefonat"
21,"B",2,7,"Am Morgen hat der Anwalt den Zeugen kontaktiert.","Der Zeuge stellte fest, dass das Telefonat offensichtlich der Einschüchterung gedient hatte.","Telefonat"
21,"C",3,7,"Kein Anwalt hat jemals den Zeugen angerufen.","Der Zeuge stellte fest, dass das Telefonat offensichtlich der Einschüchterung gedient hatte.","Telefonat"
21,"D",4,7,"Kein Anwalt hat jemals den Zeugen kontaktiert.","Der Zeuge stellte fest, dass das Telefonat offensichtlich der Einschüchterung gedient hatte.","Telefonat"
22,"A",2,7,"Endlich wurde der Täter verhaftet.","Der Kommissar sorgte dafür, dass die Handschellen sofort um seine Handgelenke befestigt wurden.","Handschellen"
22,"B",3,7,"Endlich wurde der Täter gefunden.","Der Kommissar sorgte dafür, dass die Handschellen sofort um seine Handgelenke befestigt wurden.","Handschellen"
22,"C",4,7,"Der Täter wurde niemals verhaftet.","Der Kommissar sorgte dafür, dass die Handschellen sofort um seine Handgelenke befestigt wurden.","Handschellen"
22,"D",1,7,"Der Täter wurde niemals gefunden.","Der Kommissar sorgte dafür, dass die Handschellen sofort um seine Handgelenke befestigt wurden.","Handschellen"
23,"A",3,5,"Letztes Jahr wurde der Manager inhaftiert.","Er erzählte, dass die Zelle wirklich sehr klein war.","Zelle"
23,"B",4,5,"Letztes Jahr wurde der Manager gefasst.","Er erzählte, dass die Zelle wirklich sehr klein war.","Zelle"
23,"C",1,5,"Der Manager wurde niemals inhaftiert.","Er erzählte, dass die Zelle wirklich sehr klein war.","Zelle"
23,"D",2,5,"Der Manager wurde niemals gefasst.","Er erzählte, dass die Zelle wirklich sehr klein war.","Zelle"
24,"A",4,5,"In den Ferien ging der Mechaniker Ski fahren.","Er bemerkte, dass die Piste diesmal viel voller war als im Vorjahr.","Piste"
24,"B",1,5,"In den Ferien ging der Mechaniker in die Berge.","Er bemerkte, dass die Piste diesmal viel voller war als im Vorjahr.","Piste"
24,"C",2,5,"Der Mechaniker ging niemals Ski fahren.","Er bemerkte, dass die Piste diesmal viel voller war als im Vorjahr.","Piste"
24,"D",3,5,"Der Mechaniker ging niemals in die Berge.","Er bemerkte, dass die Piste diesmal viel voller war als im Vorjahr.","Piste"
25,"A",1,5,"Letztes Jahr machte der Eisverkäufer seiner Kollegin einen Antrag.","Er erzählt, dass die Hochzeit in einer mittelalterlichen Kapelle stattfand.","Hochzeit"
25,"B",2,5,"Letztes Jahr gestand der Eisverkäufer seiner Kollegin seine Liebe.","Er erzählt, dass die Hochzeit in einer mittelalterlichen Kapelle stattfand.","Hochzeit"
25,"C",3,5,"Der Eisverkäufer machte seiner Kollegin niemals einen Antrag.","Er erzählt, dass die Hochzeit in einer mittelalterlichen Kapelle stattfand.","Hochzeit"
25,"D",4,5,"Der Eisverkäufer gestand seiner Kollegin niemals seine Liebe.","Er erzählt, dass die Hochzeit in einer mittelalterlichen Kapelle stattfand.","Hochzeit"
26,"A",2,5,"Dieses Jahr hat die Künstlerin ihr Bild verkauft.","Sie verkündete, dass das Geld für eine neue Staffelei reichte.","Geld"
26,"B",3,5,"Dieses Jahr ist die Künstlerin ihr Bild losgeworden.","Sie verkündete, dass das Geld für eine neue Staffelei reichte.","Geld"
26,"C",4,5,"Die Künstlerin hat ihr Bild niemals verkauft.","Sie verkündete, dass das Geld für eine neue Staffelei reichte.","Geld"
26,"D",1,5,"Die Künstlerin ist ihr Bild niemals losgeworden.","Sie verkündete, dass das Geld für eine neue Staffelei reichte.","Geld"
27,"A",3,6,"Letzte Woche wurde im Dorf ein Jugendlicher entführt.","Der Fernsehsender berichtet, dass das Lösegeld sofort von der Familie gezahlt worden war.","Lösegeld"
27,"B",4,6,"Letzte Woche wurde im Dorf ein Jugendlicher vermisst.","Der Fernsehsender berichtet, dass das Lösegeld sofort von der Familie gezahlt worden war.","Lösegeld"
27,"C",1,6,"Kein Jugendlicher wurde jemals im Dorf entführt.","Der Fernsehsender berichtet, dass das Lösegeld sofort von der Familie gezahlt worden war.","Lösegeld"
27,"D",2,6,"Kein Jugendlicher wurde jemals im Dorf vermisst.","Der Fernsehsender berichtet, dass das Lösegeld sofort von der Familie gezahlt worden war.","Lösegeld"
28,"A",4,6,"Diese Woche wurde die Regionalwahl gewonnen.","Der Kandidat schildert, dass der Sieg sehr überraschend für ihn war.","Sieg"
28,"B",1,6,"Diese Woche wurde die Regionalwahl durchgeführt.","Der Kandidat schildert, dass der Sieg sehr überraschend für ihn war.","Sieg"
28,"C",2,6,"Die Regionalwahl wurde nicht gewonnen.","Der Kandidat schildert, dass der Sieg sehr überraschend für ihn war.","Sieg"
28,"D",3,6,"Die Regionalwahl wurde nicht durchgeführt.","Der Kandidat schildert, dass der Sieg sehr überraschend für ihn war.","Sieg"
29,"A",1,6,"Am Freitag hat es in Bayern gewittert.","Die Camperin entdeckte, dass der Blitz genau neben ihrem Zelt eingeschlagen hatte.","Blitz"
29,"B",2,6,"Am Freitag hat es in Bayern geregnet.","Die Camperin entdeckte, dass der Blitz genau neben ihrem Zelt eingeschlagen hatte.","Blitz"
29,"C",3,6,"Es hat in Bayern nicht gewittert.","Die Camperin entdeckte, dass der Blitz genau neben ihrem Zelt eingeschlagen hatte.","Blitz"
29,"D",4,6,"Es hat in Bayern nicht geregnet.","Die Camperin entdeckte, dass der Blitz genau neben ihrem Zelt eingeschlagen hatte.","Blitz"
30,"A",2,6,"Letzten Monat hat der Dozent seine Freundin betrogen.","Sie fand heraus, dass die Affäre schon ein paar Wochen dauerte.","Affäre"
30,"B",3,6,"Letzten Monat hat der Dozent seine Freundin angelogen.","Sie fand heraus, dass die Affäre schon ein paar Wochen dauerte.","Affäre"
30,"C",4,6,"Der Dozent hat seine Freundin niemals betrogen.","Sie fand heraus, dass die Affäre schon ein paar Wochen dauerte.","Affäre"
30,"D",1,6,"Der Dozent hat seine Freundin niemals angelogen.","Sie fand heraus, dass die Affäre schon ein paar Wochen dauerte.","Affäre"
31,"A",3,5,"Heute früh haben die Spaziergänger einen Krankenwagen gerufen.","Sie hörten, dass die Sirene langsam immer lauter wurde.","Sirene"
31,"B",4,5,"Heute früh haben die Spaziergänger einen Arzt gerufen.","Sie hörten, dass die Sirene langsam immer lauter wurde.","Sirene"
31,"C",1,5,"Die Spaziergänger haben keinen Krankenwagen gerufen.","Sie hörten, dass die Sirene langsam immer lauter wurde.","Sirene"
31,"D",2,5,"Die Spaziergänger haben keinen Arzt gerufen.","Sie hörten, dass die Sirene langsam immer lauter wurde.","Sirene"
32,"A",4,5,"Diesen Monat hat sich der Ehemann einen Psychologen gesucht.","Er bemerkte, dass die Therapie schon bald positive Auswirkungen zeigte.","Therapie"
32,"B",1,5,"Diesen Monat hat sich der Ehemann Unterstützung gesucht.","Er bemerkte, dass die Therapie schon bald positive Auswirkungen zeigte.","Therapie"
32,"C",2,5,"Der Ehemann hat sich niemals einen Psychologen gesucht.","Er bemerkte, dass die Therapie schon bald positive Auswirkungen zeigte.","Therapie"
32,"D",3,5,"Der Ehemann hat sich niemals Unterstützung gesucht.","Er bemerkte, dass die Therapie schon bald positive Auswirkungen zeigte.","Therapie"
33,"A",1,6,"Heute ist die Schulklasse des Gymnasiums mit der Bahn gefahren.","Der Schulsprecher schildert, dass der Waggon ziemlich voll gewesen war.","Waggon"
33,"B",2,6,"Heute ist die Schulklasse des Gymnasiums auf Klassenfahrt gefahren.","Der Schulsprecher schildert, dass der Waggon ziemlich voll gewesen war.","Waggon"
33,"C",3,6,"Keine Schulklasse des Gymnasiums ist jemals mit der Bahn gefahren.","Der Schulsprecher schildert, dass der Waggon ziemlich voll gewesen war.","Waggon"
33,"D",4,6,"Keine Schulklasse des Gymnasiums ist jemals auf Klassenfahrt gefahren.","Der Schulsprecher schildert, dass der Waggon ziemlich voll gewesen war.","Waggon"
34,"A",2,6,"Dieses Jahr hat die Vermieterin im Haus mehrere Wohnungen gestrichen.","Sie sorgte dafür, dass der Pinsel stets mit Vorsicht angesetzt wurde.","Pinsel"
34,"B",3,6,"Dieses Jahr hat die Vermieterin im Haus mehrere Wohnungen bearbeitet.","Sie sorgte dafür, dass der Pinsel stets mit Vorsicht angesetzt wurde.","Pinsel"
34,"C",4,6,"Die Vermieterin hat im Haus keine Wohnungen gestrichen.","Sie sorgte dafür, dass der Pinsel stets mit Vorsicht angesetzt wurde.","Pinsel"
34,"D",1,6,"Die Vermieterin hat im Haus keine Wohnungen bearbeitet.","Sie sorgte dafür, dass der Pinsel stets mit Vorsicht angesetzt wurde.","Pinsel"
35,"A",3,5,"Eben stellte die Gastwirtin fest, dass die Soße schon schlecht geworden war.","Sie sah, dass der Schimmel schon das ganze Glas bedeckte.","Schimmel"
35,"B",4,5,"Eben stellte die Gastwirtin fest, dass die Soße schon lange geöffnet war.","Sie sah, dass der Schimmel schon das ganze Glas bedeckte.","Schimmel"
35,"C",1,5,"Die Gastwirtin stellte fest, dass die Soße noch nicht schlecht geworden war.","Sie sah, dass der Schimmel schon das ganze Glas bedeckte.","Schimmel"
